Section,Subsection,Field,Type,Option,Price,Price_large,Pricing,Applicable,Feature,Build Type,Duplicate,Quantity,Image URL
Roof,Roof,Metal Roof Color,select,Green,,,each,"small, large",,,,FALSE,
Roof,Roof,Metal Roof Color,select,Hawiian Blue,,,each,"small, large",,,,FALSE,
Roof,Roof,Metal Roof Color,select,Light Gray,,,each,"small, large",,,,FALSE,
Roof,Roof,Metal Roof Color,select,Light Stone,,,each,"small, large",,,,FALSE,
Roof,Roof,Metal Roof Color,select,Rustic Red,,,each,"small, large",,,,FALSE,
Roof,Roof,Metal Roof Color,select,Tan,,,each,"small, large",,,,FALSE,
Roof,Roof,Metal Roof Color,select,White,,,each,"small, large",,,,FALSE,
Roof,Shingles,Shingles,radio,25 Year Shingles,,,sq_ft,"small, large",,,,,
Roof,Shingles,Shingles,radio,30-Year Shingle Upgrade,0.5,,sq_ft,"small, large",,,,,
Roof,Shingles,Shingle Color,select,Driftwood,,,each,"small, large",,,,FALSE,
Roof,Shingles,Shingle Color,select,Brownwood,,,each,"small, large",,,,FALSE,
Roof,Shingles,Shingle Color,select,Desert Tan,,,each,"small, large",,,,FALSE,
Roof,Shingles,Shingle Color,select,Estate Gray,,,each,"small, large",,,,FALSE,
Roof,Shingles,Shingle Color,select,Siera Gray,,,each,"small, large",,,,FALSE,
Roof,Shingles,Shingle Color,select,Onyx Black,,,each,"small, large",,,,FALSE,
Roof,Shingles,Shingle Color,select,Chateau Green,,,each,"small, large",,,,FALSE,
Roof,Shingles,Shingle Color,select,Teak,,,each,"small, large",,,,FALSE,
Roof,Drip Edge,Drip Edge Color,select,Brown,,,each,"small, large",,,,FALSE,
Roof,Drip Edge,Drip Edge Color,select,White,,,each,"small, large",,,,FALSE,
Roof,Custom,Custom Field,text,,,,each,"small, large",,,,,
Roof,Custom,Custom Field,text,,,,each,"small, large",,,,,
Paint & Stain,Paint,Paint,radio,Paint Prebuilt Mini & Gable,1.85,,sq_ft,small,Non-vinyl,prebuilt,,,
Paint & Stain,Paint,Paint,radio,"Paint Prebuilt Estate, Sugarcreek, Cottage, & Craftsman",2.45,,sq_ft,small,Non-vinyl,prebuilt,,,
Paint & Stain,Paint,Paint,radio,Paint Prebuilt Highland,2.6,,sq_ft,small,Non-vinyl,prebuilt,,,
Paint & Stain,Paint,Paint,radio,None,0,,sq_ft,small,Non-vinyl,prebuilt,,,
Paint & Stain,Paint,Paint w/Non-Stock Color (add),checkbox,,0.5,,sq_ft,"small, large",Non-vinyl,prebuilt,,,
Paint & Stain,Paint,Paint for AOS,checkbox,,,,each,"small, large",Non-vinyl,aos,,FALSE,
Paint & Stain,Paint,Paint Color,select,Navajo White,,,each,"small, large",Non-vinyl,,,FALSE,
Paint & Stain,Paint,Paint Color,select,Almond,,,each,"small, large",Non-vinyl,,,FALSE,
Paint & Stain,Paint,Paint Color,select,Buckskin,,,each,"small, large",Non-vinyl,,,FALSE,
Paint & Stain,Paint,Paint Color,select,Clay,,,each,"small, large",Non-vinyl,,,FALSE,
Paint & Stain,Paint,Paint Color,select,Shale,,,each,"small, large",Non-vinyl,,,FALSE,
Paint & Stain,Paint,Paint Color,select,Brown,,,each,"small, large",Non-vinyl,,,FALSE,
Paint & Stain,Paint,Paint Color,select,Bronze,,,each,"small, large",Non-vinyl,,,FALSE,
Paint & Stain,Paint,Paint Color,select,Spice,,,each,"small, large",Non-vinyl,,,FALSE,
Paint & Stain,Paint,Paint Color,select,Pinnacle Red,,,each,"small, large",Non-vinyl,,,FALSE,
Paint & Stain,Paint,Paint Color,select,Mountain Red,,,each,"small, large",Non-vinyl,,,FALSE,
Paint & Stain,Paint,Paint Color,select,Jamestown Red,,,each,"small, large",Non-vinyl,,,FALSE,
Paint & Stain,Paint,Paint Color,select,Woodland Green,,,each,"small, large",Non-vinyl,,,FALSE,
Paint & Stain,Paint,Paint Color,select,Wild Grasses,,,each,"small, large",Non-vinyl,,,FALSE,
