"Style","Width","Length","Feature","SQ FT","Post Amount","Pitch","Beam Height","Color - Option","Pine Staining - Option","Duratemp Staining - Option","Duratemp Painting - Option","Pine Painting - Option","Z1 Prebuilt","Z1 AOS","Z2 Prebuilt","Z2 AOS","Z3 Prebuilt","Z3 AOS","Z4 Prebuilt","Z4 AOS","Z5 Prebuilt","Z5 AOS","Z6 Prebuilt","Z6 AOS","Z7 Prebuilt","Z7 AOS","Z1 Duracolumn","Z2 Duracolumn","Z3 Duracolumn","Z4 Duracolumn","Z5 Duracolumn","Z6 Duracolumn","Z7 Duracolumn"
"Bradford",10,10,"Solid Cedar",100,4,7,8,"$1,193 ","$1,193 ","$1,193 ","$1,193 ","$1,193 ","N/A","$6,697 ","N/A","$6,987 ","N/A","$7,211 ","N/A","$7,328 ","N/A","$7,446 ","N/A","$7,563 ","N/A","$7,681 ","$1,390 ","$1,460 ","$1,530 ","$1,601 ","$1,671 ","$1,741 ","$1,811 "
"Bradford",10,12,"Solid Pine",120,4,7,8,"$1,238 ","$1,238 ","$1,238 ","$1,238 ","$1,238 ","N/A","$4,911 ","N/A","$5,116 ","N/A","$5,272 ","N/A","$5,350 ","N/A","$5,429 ","N/A","$5,507 ","N/A","$5,585 ","$1,390 ","$1,460 ","$1,530 ","$1,601 ","$1,671 ","$1,741 ","$1,811 "
"Bradford",10,12,"Solid Cedar",120,4,7,8,"$1,238 ","$1,238 ","$1,238 ","$1,238 ","$1,238 ","N/A","$7,366 ","N/A","$7,674 ","N/A","$7,908 ","N/A","$8,026 ","N/A","$8,143 ","N/A","$8,261 ","N/A","$8,378 ","$1,390 ","$1,460 ","$1,530 ","$1,601 ","$1,671 ","$1,741 ","$1,811 "
"Bradford",10,16,"Solid Pine",160,4,7,8,"$1,399 ","$1,399 ","$1,399 ","$1,399 ","$1,399 ","N/A","$6,097 ","N/A","$6,333 ","N/A","$6,507 ","N/A","$6,586 ","N/A","$6,664 ","N/A","$6,742 ","N/A","$6,821 ","$2,050 ","$2,120 ","$2,190 ","$2,261 ","$2,331 ","$2,401 ","$2,471 "
"Bradford",10,16,"Solid Cedar",160,4,7,8,"$1,399 ","$1,399 ","$1,399 ","$1,399 ","$1,399 ","N/A","$9,145 ","N/A","$9,499 ","N/A","$9,761 ","N/A","$9,879 ","N/A","$9,996 ","N/A","$10,114 ","N/A","$10,231 ","$2,050 ","$2,120 ","$2,190 ","$2,261 ","$2,331 ","$2,401 ","$2,471 "
"Bradford",12,12,"Solid Pine",144,4,7,8,"$1,564 ","$1,564 ","$1,564 ","$1,564 ","$1,564 ","N/A","$5,177 ","N/A","$5,420 ","N/A","$5,611 ","N/A","$5,720 ","N/A","$5,830 ","N/A","$5,939 ","N/A","$6,048 ","$1,390 ","$1,460 ","$1,530 ","$1,601 ","$1,671 ","$1,741 ","$1,811 "
"Bradford",12,12,"Solid Cedar",144,4,7,8,"$1,564 ","$1,564 ","$1,564 ","$1,564 ","$1,564 ","N/A","$7,766 ","N/A","$8,130 ","N/A","$8,417 ","N/A","$8,581 ","N/A","$8,744 ","N/A","$8,908 ","N/A","$9,072 ","$1,390 ","$1,460 ","$1,530 ","$1,601 ","$1,671 ","$1,741 ","$1,811 "
"Bradford",12,16,"Solid Pine",192,4,7,8,"$1,657 ","$1,657 ","$1,657 ","$1,657 ","$1,657 ","N/A","$6,532 ","N/A","$6,809 ","N/A","$7,022 ","N/A","$7,131 ","N/A","$7,240 ","N/A","$7,349 ","N/A","$7,458 ","$2,050 ","$2,120 ","$2,190 ","$2,261 ","$2,331 ","$2,401 ","$2,471 "
"Bradford",12,16,"Solid Cedar",192,4,7,8,"$1,657 ","$1,657 ","$1,657 ","$1,657 ","$1,657 ","N/A","$9,798 ","N/A","$10,214 ","N/A","$10,533 ","N/A","$10,697 ","N/A","$10,860 ","N/A","$11,024 ","N/A","$11,188 ","$2,050 ","$2,120 ","$2,190 ","$2,261 ","$2,331 ","$2,401 ","$2,471 "
"Bradford",12,20,"Solid Pine",240,6,7,8,"$2,049 ","$2,049 ","$2,049 ","$2,049 ","$2,049 ","N/A","$7,451 ","N/A","$7,753 ","N/A","$7,980 ","N/A","$8,089 ","N/A","$8,198 ","N/A","$8,307 ","N/A","$8,416 ","$2,050 ","$2,120 ","$2,190 ","$2,261 ","$2,331 ","$2,401 ","$2,471 "
"Bradford",12,20,"Solid Cedar",240,6,7,8,"$2,049 ","$2,049 ","$2,049 ","$2,049 ","$2,049 ","N/A","$11,177 ","N/A","$11,629 ","N/A","$11,970 ","N/A","$12,133 ","N/A","$12,297 ","N/A","$12,461 ","N/A","$12,624 ","$2,050 ","$2,120 ","$2,190 ","$2,261 ","$2,331 ","$2,401 ","$2,471 "
"Bradford",12,24,"Solid Pine",288,6,7,8,"$2,074 ","$2,074 ","$2,074 ","$2,074 ","$2,074 ","N/A","$8,410 ","N/A","$8,736 ","N/A","$8,979 ","N/A","$9,088 ","N/A","$9,197 ","N/A","$9,306 ","N/A","$9,415 ","$2,050 ","$2,120 ","$2,190 ","$2,261 ","$2,331 ","$2,401 ","$2,471 "
"Bradford",12,24,"Solid Cedar",288,6,7,8,"$2,074 ","$2,074 ","$2,074 ","$2,074 ","$2,074 ","N/A","$12,615 ","N/A","$13,105 ","N/A","$13,468 ","N/A","$13,631 ","N/A","$13,795 ","N/A","$13,959 ","N/A","$14,122 ","$2,050 ","$2,120 ","$2,190 ","$2,261 ","$2,331 ","$2,401 ","$2,471 "
"Bradford",14,16,"Solid Pine",224,4,7,8,"$2,114 ","$2,114 ","$2,114 ","$2,114 ","$2,114 ","N/A","$7,279 ","N/A","$7,576 ","N/A","$7,800 ","N/A","$7,909 ","N/A","$8,018 ","N/A","$8,127 ","N/A","$8,236 ","$2,050 ","$2,120 ","$2,190 ","$2,261 ","$2,331 ","$2,401 ","$2,471 "
"Bradford",14,16,"Solid Cedar",224,4,7,8,"$2,114 ","$2,114 ","$2,114 ","$2,114 ","$2,114 ","N/A","$10,918 ","N/A","$11,364 ","N/A","$11,700 ","N/A","$11,864 ","N/A","$12,027 ","N/A","$12,191 ","N/A","$12,355 ","$2,050 ","$2,120 ","$2,190 ","$2,261 ","$2,331 ","$2,401 ","$2,471 "
"Bradford",14,20,"Solid Pine",280,6,7,8,"$2,121 ","$2,121 ","$2,121 ","$2,121 ","$2,121 ","N/A","$8,372 ","N/A","$8,728 ","N/A","$9,000 ","N/A","$9,140 ","N/A","$9,280 ","N/A","$9,420 ","N/A","$9,560 ","$2,050 ","$2,120 ","$2,190 ","$2,261 ","$2,331 ","$2,401 ","$2,471 "
"Bradford",14,20,"Solid Cedar",280,6,7,8,"$2,121 ","$2,121 ","$2,121 ","$2,121 ","$2,121 ","N/A","$12,558 ","N/A","$13,091 ","N/A","$13,500 ","N/A","$13,710 ","N/A","$13,920 ","N/A","$14,130 ","N/A","$14,340 ","$2,050 ","$2,120 ","$2,190 ","$2,261 ","$2,331 ","$2,401 ","$2,471 "
"Bradford",14,24,"Solid Pine",336,6,7,8,"$1,946 ","$1,946 ","$1,946 ","$1,946 ","$1,946 ","N/A","$9,381 ","N/A","$9,763 ","N/A","$10,052 ","N/A","$10,191 ","N/A","$10,331 ","N/A","$10,471 ","N/A","$10,611 ","$2,050 ","$2,120 ","$2,190 ","$2,261 ","$2,331 ","$2,401 ","$2,471 "
"Bradford",14,24,"Solid Cedar",336,6,7,8,"$1,946 ","$1,946 ","$1,946 ","$1,946 ","$1,946 ","N/A","$14,071 ","N/A","$14,645 ","N/A","$15,077 ","N/A","$15,287 ","N/A","$15,497 ","N/A","$15,707 ","N/A","$15,917 ","$2,050 ","$2,120 ","$2,190 ","$2,261 ","$2,331 ","$2,401 ","$2,471 "
"Bradford",14,28,"Solid Pine",392,6,7,8,"$2,047 ","$2,047 ","$2,047 ","$2,047 ","$2,047 ","N/A","$10,964 ","N/A","$11,387 ","N/A","$11,701 ","N/A","$11,841 ","N/A","$11,980 ","N/A","$12,120 ","N/A","$12,260 ","$3,150 ","$3,220 ","$3,290 ","$3,361 ","$3,431 ","$3,501 ","$3,571 "
"Bradford",14,28,"Solid Cedar",392,6,7,8,"$2,047 ","$2,047 ","$2,047 ","$2,047 ","$2,047 ","N/A","$16,446 ","N/A","$17,081 ","N/A","$17,551 ","N/A","$17,761 ","N/A","$17,971 ","N/A","$18,180 ","N/A","$18,390 ","$3,150 ","$3,220 ","$3,290 ","$3,361 ","$3,431 ","$3,501 ","$3,571 "
"Bradford",14,32,"Solid Pine",448,6,7,8,"$2,340 ","$2,340 ","$2,340 ","$2,340 ","$2,340 ","N/A","$12,425 ","N/A","$12,887 ","N/A","$13,223 ","N/A","$13,363 ","N/A","$13,502 ","N/A","$13,642 ","N/A","$13,782 ","$3,920 ","$3,990 ","$4,060 ","$4,131 ","$4,201 ","$4,271 ","$4,341 "
